id,name,district,difficulty,distance_km,elevation_m,type,features,description
1,Bukit Keluang,Besut,Easy,2.5,154,Coastal,"Scenic Views, Beach Access",Famous for its breathtaking coastal views and wooden walkways along the cliffside. Ideal for beginners and sunrise catching.
2,Bukit Besar,Kuala Terengganu,Moderate,2.0,156,Jungle,"City View, Landmark",An iconic landmark in the heart of the city. Features a steep tarmac road and jungle trails leading to a panoramic view of the Drawbridge.
3,CBL (Chemerong-Berembun-Langsir),Dungun,Hard,15.7,1038,Waterfall/Jungle,"Highest Waterfall, Camping",A world-class expedition featuring the 305m Chemerong waterfall. Requires high fitness for multi-day river crossings and mossy forests.
4,Bukit Maras,Kuala Nerus,Moderate,3.5,329,Jungle,"Paragliding, Scenic Views",A favorite for paragliders. The trail is steep but rewarding with a clear view of the South China Sea and the surrounding villages.
5,Lata Tembakah,Besut,Easy,2.5,120,Waterfall,"7-Tier Waterfall, Family Friendly",A well-maintained recreational forest trail leading to a majestic 7-tiered waterfall. Perfect for family picnics and light jungle trekking.
6,Bukit Labuhan,Kemaman,Moderate,4.2,250,Coastal/Jungle,"Sea View, Rocky Terrain","Located near Kerteh, this trail offers a unique mix of jungle canopy and sudden openings to spectacular rocky coastal views."
7,Sekayu Recreational Forest,Hulu Terengganu,Easy,1.5,80,Waterfall,"Multiple Pools, Picnic Area","Gentle walking paths suitable for children and seniors, winding through tropical fruit orchards and multiple natural swimming pools."
8,Gunung Tebu,Besut,Hard,10.0,1039,Jungle,"Island Views, Mossy Forest",The highest peak in the area. Hikers are rewarded with a unique 'Bonsai' garden at the top and views of Perhentian Island on clear days.
9,Bukit Tokki,Kuala Terengganu,Moderate,3.0,180,Jungle,"Training Trail, Local Peak",A rugged training ground for local hikers. Features multiple trail branches ranging from technical root climbs to steady slopes.
10,Lata Belatan,Besut,Easy,1.2,60,Waterfall,"Basecamp, Swimming Pools","An accessible trail within the recreational forest, serving as the main entry point for more intense Gunung Tebu expeditions."
11,Bukit Bongsu,Kemaman,Moderate,3.8,220,Jungle,"Secondary Forest, Wildlife",A secluded trail rich in local flora. Great for bird watching and experiencing a dense secondary rainforest canopy.
12,Bukit Bauk,Dungun,Moderate,4.5,300,Jungle,"Coastal Forest, Nature Education",Part of a protected forest reserve. The trail is well-marked and used for environmental education and daily fitness by locals.
13,Hutan Lipur Chemerong,Dungun,Easy,1.0,50,Waterfall,"River Side, Accessibility","Short, paved paths along the riverbank for those who want to see the waterfall base without a full mountain hike."
